,latitude,longitude,depth_drilled,yield,target,fault0,fault1,fault2,fault3,fault4,fault5,fault6
92,39.242639000000004,-119.938728,298.0,20.0,1.0,16.058629067969463,4.150762844530754,8.161204880575946,3.008591388260634,0.5158428712847937,36.07264040890796,4.419240570591339
93,39.338201,-119.18271399999999,193.0,30.0,1.0,43.86315691873176,17.59423755694517,3.8591163531572086,22.34881717781695,0.03104038183397686,70.51912062285551,23.92660534496556
94,39.345481,-119.16173500000001,290.0,25.0,1.0,45.782846391531166,19.289221234706595,4.695118724433925,23.88239074044711,0.4101199988912751,72.4179509490789,25.852416013244092
95,39.007041,-119.84701100000001,300.0,12.0,1.0,26.538979778781513,1.0724735062406607,1.1272899624010613,5.29941500434577,10.277808194454606,9.59258623599273,9.597627947105387
96,39.333021,-119.21946299999999,160.0,25.0,1.0,40.64964063337759,14.588779345883022,2.1500728525153514,19.533285415406105,2.5012767638750284,67.76525515093958,20.713014333225736
97,39.326,-119.82,180.0,25.0,1.0,10.846857946191482,3.873990179521781,6.2720286360450554,7.220669851676303,0.9164573157530607,44.72694779741326,7.731693075750953
98,39.04696,-119.71033999999999,320.0,14.0,1.0,20.983239148998333,4.029957207140714,0.02555748661136919,4.314008129493134,0.4935681142401903,15.811745868164246,0.6925158891454763
99,38.71750752865587,-119.36057320154211,0.0,0.0,0.0,66.2265150491468,7.904905582414908,16.353720243121153,40.960711657148366,0.8635692680453675,43.64492536463525,8.924531490887492
100,38.85624751670418,-119.72497068163088,0.0,0.0,0.0,42.021978091141555,0.745537918902298,7.586611534213325,10.979856591507358,0.020275505049564192,8.924407244040763,1.9860686979422002
101,39.17368964119604,-119.26352878583599,0.0,0.0,0.0,37.65225874650216,17.423823170063915,0.4412741972250793,26.62747808580671,7.385786760809429,54.12316937095956,18.313834997551727
102,38.760857182840596,-119.10782043229516,0.0,0.0,0.0,74.75276616095728,0.018377389247616897,6.5760311237166515,60.16085733185931,5.826971924096755,62.018344058879954,31.24341162983583
103,38.720858053606655,-119.57807818031473,0.0,0.0,0.0,58.83460756386895,8.873496228056187,15.054380965384949,22.11549607445326,0.0318399707812228,28.619984523337276,8.74524622859398
104,39.053748701672355,-119.7813620251964,0.0,0.0,0.0,20.189553211671118,1.8150583898805,0.02203806383473218,4.654210801808212,6.3415615606254025,14.564131011461415,6.099339683248294
105,39.08145903642225,-119.35011556222048,0.0,0.0,0.0,35.17989876448857,14.150138207467691,4.59866658813728,32.76659542467155,3.092749953077875,42.665657339348456,11.364167473653886
106,39.11248597871314,-119.7795593779593,0.0,0.0,0.0,13.708185800587714,2.1526503323968034,0.007720202437574449,8.510009112917464,6.77308842798986,21.07206588756438,6.705739863695413
107,38.70454913177465,-119.19056954332217,0.0,0.0,0.0,75.15757208040486,7.734278118229061,1.5657878155657088,55.707758499021466,6.755943513416748,57.4386447018729,23.710534939932092
108,39.18869757649176,-119.1941807481672,0.0,0.0,0.0,43.09538813523337,23.416514812828808,2.78322593441968,29.393015423887658,7.561724569393972,60.13557176613918,24.219096657079422
109,38.80883564986825,-119.659749483482,0.0,0.0,0.0,47.825887463431386,2.6242416471031036,8.68912681450395,18.062902834623035,0.030208909259767706,16.65281743703924,6.430775048100568
110,38.935616181578844,-119.04278692779322,0.0,0.0,0.0,66.27863534856566,1.0413436504766032,22.8610305562765,59.2579042955538,1.6117721463157315,65.19003992734733,41.364950463042135
111,39.122608221956824,-119.15250563365254,0.0,0.0,0.0,48.48098641039199,20.53129833216689,6.8652800691561,37.12696101037307,8.831672575923964,60.12702160029075,28.73897690051588
112,39.21081225068568,-119.19287172672561,0.0,0.0,0.0,42.801418794550074,22.90170453562423,3.4025982369184025,27.88168344551219,5.542873557313842,61.47067767992629,24.434425090631034
113,39.38118103478556,-119.4637719085453,0.0,0.0,0.0,22.70995271785762,5.640005114011538,1.151134901553348,0.04089790197653459,5.706303955907531,58.63147455531532,8.635636439280992
114,39.086428441891265,-119.62146562279165,0.0,0.0,0.0,19.391748404598122,8.081081214199177,6.044112380939129,12.973399705539569,0.012892571545750731,23.8561812052548,6.5364289518357515
115,39.13296382665497,-119.17059533574701,0.0,0.0,0.0,46.635246290031304,22.31819501354184,5.416813196433666,35.222268322858866,9.42116989164746,59.140512457531,26.971992903900524
116,39.104146501679736,-119.13829309968922,0.0,0.0,0.0,50.329547256259694,18.139981794841795,8.157596823225706,39.469162929106474,9.169735293078938,60.53306156233514,29.730590194291736
117,38.732077068558965,-119.29542816378508,0.0,0.0,0.0,67.55019781673693,8.907941888054639,11.167238593236235,46.67343357371354,1.0588474678384896,47.892321032255644,14.67967190833248
118,38.90257157452148,-119.77210172434846,0.0,0.0,0.0,36.88007957659487,1.989251325719911,1.915950821304053,5.393027494538694,0.8834202384408786,2.4688137695764634,1.9087681067326374
119,38.95538252527906,-119.3643155557356,0.0,0.0,0.0,43.86040193242228,14.767123289207618,12.041855877292969,33.32081682823342,3.1003488015927605,37.576880771140665,17.50541034049082
120,38.84665492154004,-119.62981903288312,0.0,0.0,0.0,44.1804578472665,2.910916044735437,4.397381338286555,16.212933020148398,0.021187851582884405,16.25383871256352,4.520088676494962
121,39.35565821139875,-119.73302217795089,0.0,0.0,0.0,8.548530107628503,7.885867903581936,0.8512426382887632,4.048904680375986,2.646523348055791,48.40238511496542,4.26880093823496
122,39.126391703966895,-119.35196461475341,0.0,0.0,0.0,32.46348393290379,11.025565502144918,4.146725708716225,27.918427764177082,5.6957435749073655,44.88101482055545,12.154844414079623
123,39.210388758565244,-119.8288613518019,0.0,0.0,0.0,7.113079874447755,5.027365627880266,0.5820287629559326,3.104842489433558,5.252816300121116,31.903790347698493,3.912476078386148
124,38.96561880923036,-119.83659750623808,0.0,0.0,0.0,30.722351588573392,0.6503775410587841,0.1794230510815587,4.15613667986897,8.090245862201549,4.986947329691008,5.018979230578127
125,39.14799983189787,-119.01047664936341,0.0,0.0,0.0,59.52988003542577,20.687338466290495,16.563023728963415,44.744328917575125,0.020198426127662865,72.56872855002075,40.316816933951905
126,39.17922997569291,-119.44305025622535,0.0,0.0,0.0,22.82293756756481,1.943691284328658,1.9569015637392753,20.791261481219955,2.880257638906215,42.009278696260594,2.938626056436506
127,39.24319993808238,-119.15714807981018,0.0,0.0,0.0,45.49635575507411,23.450954991806388,5.139972905918013,28.442635672853896,0.8254844247462273,65.984738080603,26.474798707889907
